Date,BlackRock 60/40
2010-06-30,5.487205
2010-07-01,5.47403
2010-07-02,5.47403
2010-07-06,5.467444
2010-07-07,5.612363
2010-07-08,5.651887
2010-07-09,5.691411
2010-07-12,5.678236
2010-07-13,5.763872
2010-07-14,5.770458
2010-07-15,5.770458
2010-07-16,5.625538
2010-07-19,5.651887
2010-07-20,5.717761
2010-07-21,5.658475
2010-07-22,5.770458
2010-07-23,5.809982
2010-07-26,5.869267
2010-07-27,5.869267
2010-07-28,5.809982
2010-07-29,5.790221
2010-07-30,5.796807
2010-08-02,5.908792
2010-08-03,5.882443
2010-08-04,5.915378
2010-08-05,5.915378
2010-08-06,5.889029
2010-08-09,5.915378
2010-08-10,5.86268
2010-08-11,5.711174
2010-08-12,5.691411
2010-08-13,5.678236
2010-08-16,5.691411
2010-08-17,5.750697
2010-08-18,5.763872
2010-08-19,5.691411
2010-08-20,5.678236
2010-08-23,5.645299
2010-08-24,5.57284
2010-08-25,5.57284
2010-08-26,5.559665
2010-08-27,5.638714
2010-08-30,5.57284
2010-08-31,5.579428
2010-09-01,5.711174
2010-09-02,5.763872
2010-09-03,5.763872
2010-09-07,5.823156
2010-09-08,5.770458
2010-09-09,5.809982
2010-09-10,5.829744
2010-09-13,5.908792
2010-09-14,5.915378
2010-09-15,5.928553
2010-09-16,5.921966
2010-09-17,5.921966
2010-09-20,6.007601
2010-09-21,5.994426
2010-09-22,5.968077
2010-09-23,5.935141
2010-09-24,6.040537
2010-09-27,6.020775
2010-09-28,6.053712
2010-09-29,6.060299
2010-09-30,6.053712
2010-10-01,6.08006
2010-10-04,6.08006
2010-10-05,6.145934
2010-10-06,6.145934
2010-10-07,6.15252
2010-10-08,6.185458
2010-10-11,6.192044
2010-10-12,6.211806
2010-10-13,6.257917
2010-10-14,6.238156
2010-10-15,6.244742
2010-10-18,6.271092
2010-10-19,6.165696
2010-10-20,6.224981
2010-10-21,6.224981
2010-10-22,6.238156
2010-10-25,6.271092
2010-10-26,6.257917
2010-10-27,6.238156
2010-10-28,6.25133
2010-10-29,6.264505
2010-11-01,6.271092
2010-11-02,6.317203
2010-11-03,6.336965
2010-11-04,6.448948
2010-11-05,6.46871
2010-11-08,6.462123
2010-11-09,6.416011
2010-11-10,6.44236
2010-11-11,6.44236
2010-11-12,6.35014
2010-11-15,6.35014
2010-11-16,6.35014
2010-11-17,6.25133
2010-11-18,6.343551
2010-11-19,6.369901
2010-11-22,6.369901
2010-11-23,6.284266
2010-11-24,6.284266
2010-11-26,6.284266
2010-11-29,6.284266
2010-11-30,6.277679
2010-12-01,6.39625
2010-12-02,6.39625
2010-12-03,6.481886
2010-12-06,6.514822
2010-12-07,6.514822
2010-12-08,6.514822
2010-12-09,6.514822
2010-12-10,6.514822
2010-12-13,6.514822
2010-12-14,6.514822
2010-12-15,6.514822
2010-12-16,6.514822
2010-12-17,6.514822
2010-12-20,6.514822
2010-12-21,6.514822
2010-12-22,6.514822
2010-12-23,6.514822
2010-12-27,6.514822
2010-12-28,6.61108
2010-12-29,6.657872
2010-12-30,6.657872
2010-12-31,6.657872
2011-01-03,6.657872
2011-01-04,6.69798
2011-01-05,6.69798
2011-01-06,6.711349
2011-01-07,6.711349
2011-01-10,6.711349
2011-01-11,6.711349
2011-01-12,6.711349
2011-01-13,6.711349
2011-01-14,6.711349
2011-01-18,6.824987
