DATE,LIBOR_OVERNIGHT
2001-01-01,5.712487742
2001-04-01,4.398343115
2001-07-01,3.681038226
2001-10-01,2.248691311
2002-01-01,1.829724333
2002-04-01,1.8196315
2002-07-01,1.822133016
2002-10-01,1.528125082
2003-01-01,1.304303279
2003-04-01,1.312213115
2003-07-01,1.07765873
2003-10-01,1.051577869
2004-01-01,1.050494032
2004-04-01,1.068872951
2004-07-01,1.492222222
2004-10-01,2.009938525
2005-01-01,2.518072034
2005-04-01,2.98766381
2005-07-01,3.497622698
2005-10-01,4.030605333
2006-01-01,4.510918226
2006-04-01,4.977731967
2006-07-01,5.295929355
2006-10-01,5.292660656
2007-01-01,5.305344355
2007-04-01,5.317891311
2007-07-01,5.317833548
2007-10-01,4.688273115
2008-01-01,3.431630833
2008-04-01,2.37204381
2008-07-01,2.49235127
2008-10-01,1.020799344
2009-01-01,0.260471967
2009-04-01,0.248504426
2009-07-01,0.232276875
2009-10-01,0.182489016
2010-01-01,0.183887705
2010-04-01,0.279035082
2010-07-01,0.24113
2010-10-01,0.232113934
2011-01-01,0.225135738
2011-04-01,0.134461667
2011-07-01,0.138309048
2011-10-01,0.144763333
2012-01-01,0.144717742
2012-04-01,0.154313559
2012-07-01,0.157714516
2012-10-01,0.156948438
2013-01-01,0.156860656
2013-04-01,0.142909677
2013-07-01,0.117272222
2013-10-01,0.102481967
2014-01-01,0.088470492
2014-04-01,0.089995082
2014-07-01,0.091314286
2014-10-01,0.099027869
2015-01-01,0.119378689
2015-04-01,0.122698361
2015-07-01,0.130142188
2015-10-01,0.164703279
2016-01-01,0.370633333
2016-04-01,0.385420635
2016-07-01,0.41806619
2016-10-01,0.475200167
2017-01-01,0.733498226
2017-04-01,0.977590984
2017-07-01,1.17764371
2017-10-01,1.224202787
2018-01-01,1.467244918
2018-04-01,1.749739677
2018-07-01,1.925861613
2018-10-01,2.197524754
2019-01-01,2.386781475
2019-04-01,2.366643934
2019-07-01,2.158206825
2019-10-01,1.632791803
2020-01-01,1.232571129
2020-04-01,0.066227377
