,accountCAD,accountUSD,accountUSD_CADHDG,portfolio
2011-04-01,49970.0,51532.33999345744,49970.90900063515,99940.90900063515
2011-04-04,50166.30396955977,51709.08795048825,49795.85167166337,99962.15564122313
2011-04-05,50113.49299616189,51631.5593657914,49907.06532728969,100020.55832345158
2011-04-06,50105.558289069515,51744.01327351658,49855.3579733597,99960.91626242921
2011-04-07,49919.02984562203,51656.449388901776,49585.026881760314,99504.05672738235
2011-04-08,50001.291229174196,51665.871873857475,49542.403239050174,99543.69446822436
2011-04-11,49689.14561502755,51503.97200610573,49231.61605487928,98920.76166990683
2011-04-12,49360.44202889623,51194.051376331154,48936.394399031524,98296.83642792774
2011-04-13,49533.39234006326,51357.64917068566,49411.19575606219,98944.58809612546
2011-04-14,49480.1714315928,51388.09560780685,49466.18045961782,98946.35189121062
2011-04-15,49492.0956909565,51536.73121853225,49609.257097424794,99101.3527883813
2011-04-18,49169.15183699883,50995.71937261388,48955.8895034599,98125.04134045873
2011-04-19,49300.41424160088,51296.472785082275,49454.92957842626,98755.34382002713
2011-04-20,49717.036867401475,51930.40971965183,49624.700736501916,99341.7376039034
2011-04-21,49929.515559166975,52157.98948822604,49701.87007858808,99631.38563775505
2011-04-25,49826.21412544642,52093.88786325198,49649.64256621284,99475.85669165925
2011-04-26,49980.04203251269,52427.857281700824,50010.931991033656,99990.97402354635
2011-04-27,50009.45263494842,52606.606427780884,50002.580011640566,100012.03264658898
2011-04-28,49977.40174465636,52690.95884701765,50098.56375716941,100075.96550182576
2011-04-29,50079.209581369134,52786.837676269395,50158.054282605546,100237.26386397469
2011-05-02,50135.927352422805,52822.03053463092,49939.53131178833,100075.45866421112
2011-05-03,49709.217556019954,52507.83960953861,49945.45747725645,99654.6750332764
2011-05-04,49520.46664235232,52198.882983149524,49719.43529473891,99239.90193709123
2011-05-05,49262.11559076175,51847.91369330338,49670.30154069175,98932.41713145349
2011-05-06,49573.51469980078,52061.8127273236,50294.83390667899,99868.34860647976
2011-05-09,49729.0112294735,52247.518160952895,50371.83242838688,100100.84365786039
2011-05-10,49791.54829730671,52479.72317579927,50558.96563788554,100350.51393519226
2011-05-11,49321.488226598856,52023.321557188974,49763.95022409647,99085.43845069534
2011-05-12,49322.500891047435,52091.1300605047,50002.27686780065,99324.77775884808
2011-05-13,49113.10843944913,51676.42176284093,49769.04516666586,98882.153606115
2011-05-16,49177.08110134705,51617.39373351005,50027.578784291625,99204.65988563868
2011-05-17,49330.20077950858,51705.92789578051,50397.76657876852,99727.96735827709
2011-05-18,49654.396453267356,51957.00829009648,50476.23248850234,100130.6289417697
2011-05-19,49539.30862348968,52016.8224952257,50425.107136547216,99964.41576003689
