Date,accountCAD,accountUSD,accountUSD_CADHDG,portfolio
2015-04-01,49970.0,39377.31336953583,49961.93599939346,99931.93599939346
2015-04-02,50250.89289836667,39560.18508301738,49886.97470148069,100137.86759984736
2015-04-06,50364.132770555254,39813.72740817771,49667.62266354193,100031.75543409718
2015-04-07,50513.444287085615,39807.84564647936,49658.296816325616,100171.74110341123
2015-04-08,50799.26580026408,40013.13643126227,50032.42367961401,100831.68947987808
2015-04-09,51077.86491966338,40093.6418800342,50283.442286820056,101361.30720648344
2015-04-10,51188.167980151375,40155.138110527965,50503.51795033052,101691.6859304819
2015-04-13,51082.48695508765,40041.81796175268,50330.56391949843,101413.05087458607
2015-04-14,51097.08904522087,40165.76700700075,50576.73288823289,101673.82193345376
2015-04-15,51075.37229768986,40318.09504462601,50331.90238256365,101407.2746802535
2015-04-16,50930.84292408846,40391.578019825945,49697.79623197131,100628.63915605977
2015-04-17,50610.7500710219,40042.44697969731,48857.39046961885,99468.14054064074
2015-04-20,50684.665421859434,40089.95273940108,48952.640643834944,99637.30606569437
2015-04-21,50856.76016995951,40207.97889774397,49146.21472337394,100002.97489333345
2015-04-22,50870.96121922787,40275.39023760863,49403.80741959879,100274.76863882666
2015-04-23,50942.10773470609,40398.02106381758,49455.25780241227,100397.36553711837
2015-04-24,51016.392305197776,40529.59194727463,49230.888827215174,100247.28113241296
2015-04-27,50947.20151257681,40544.8768144373,49340.68422954519,100287.885742122
2015-04-28,50795.24725637121,40533.27777793396,49016.89448677512,99812.14174314632
2015-04-29,50492.455028607365,40269.404814449124,48472.28041685339,98964.73544546076
2015-04-30,50105.199093346586,39987.48278111973,48058.558027839135,98163.75712118571
2015-05-01,50423.57121022443,40158.60889659426,48503.56905850968,98927.1402687341
2015-05-04,50446.604829688746,40188.59871149834,48877.37351529791,99323.97834498665
2015-05-05,49945.40405909362,39857.366302998984,48197.519137595016,98142.92319668864
2015-05-06,49540.63688318261,39696.57433954924,47916.14620608638,97456.78308926898
2015-05-07,49681.32682352919,39734.31807808684,47832.17063212932,97513.49745565851
2015-05-08,50172.73241412251,40235.817647656026,48717.530087537045,98890.26250165956
2015-05-11,49863.13242257092,39919.75282641005,48264.579783101246,98127.71220567217
2015-05-12,49634.367253192984,39864.88758664654,48211.000590172815,97845.36784336579
2015-05-13,49510.64795307441,39931.30368558859,47929.54294555472,97440.19089862914
2015-05-14,49832.18897091712,40248.56201937319,48113.1310226051,97945.31999352222
2015-05-15,50050.917855108775,40426.49489826489,48443.068998516406,98493.98685362519
2015-05-18,50050.917855108775,40278.226813285,48381.39972762741,98432.31758273618
2015-05-19,50165.713035899586,40199.69104411008,48822.52277952622,98988.23581542581
2015-05-20,50124.383176059375,40211.23457841181,49174.7227512225,99299.10592728187
2015-05-21,50288.89999203067,40320.37684118243,49216.66253256586,99505.56252459652
2015-05-22,50432.50429705651,40254.97152793383,49094.96175521885,99527.46605227535
2015-05-25,50429.38730358459,40254.97152793383,49493.48972022232,99922.87702380691
2015-05-26,50301.86959874384,39945.15201671205,49209.63182184235,99511.5014205862
2015-05-27,50486.31074542647,40140.468860817884,49872.123540376946,100358.4342858034
2015-05-28,50281.126750530064,40009.46834902501,49827.78995881323,100108.91670934329
